,Date,tweet
0,2022-01-01 18:08:32+00:00,"Interesting remarks by Finnish president.

After pushing #Ukraine away from #Russia and toward #NATO, Russian policy doing the same with #Finland?

Kremlin's European policy just keeps scoring success after success. https://t.co/gWBEo3Gfp7"
1,2022-01-01 16:07:34+00:00,Football pitch in #Ukraine 😯 https://t.co/wbaKVdV9Le
2,2022-01-01 15:07:19+00:00,"Three steam locomotives with an electric one in Russia. 

These are sometimes used by the Russian railway troops.

Fittingly two of these were named after Felix Dzerzhinsky, the head of Cheka and OGPU a known mass murderer.
#Russia https://t.co/7Y9eyp729P"
3,2022-01-01 14:17:10+00:00,"Could the West be trusted to react rationally in the face of #Russia’s explicit red lines? What are the risk levels of full-scale thermonuclear war? How does the Russia-China relationship play into this dynamic?
https://t.co/XtTyewoHXN"
4,2022-01-01 00:05:15+00:00,"In about a week the #democrats are going to get amnesia or become as oblivious as #JoeBiden and forget all about #China, #lockdowns , #Afghanistan, #inflation, the open border, The #Russia-Germany pipeline, #HunterBiden's laptop etc....etc and it's be all #January6th until 2023."
5,2021-12-31 22:35:06+00:00,"#ESC250 Countdown

3: #Ukraine 2021 🇺🇦
@_Go_A_ - Shum

https://t.co/cpVgVNBOkx"
6,2021-12-31 22:22:30+00:00,"Every year, but especially today, I am shocked at the idiocy of people who set fireworks in #Ukraine. 

The country is in the middle of war and is on the brink of another escalation. 

Why am I hearing explosions all around me? Forget me, but the veterans?"
7,2021-12-31 22:15:00+00:00,"Happy New Year 2022 💫Ukraine 🇺🇦🥂

Let's celebrate Culture and Women around the world together! 🎊

🏆Prize: 
1 x $CoW 5000 Token

To Enter:
1⃣Like &amp; RT
2⃣ Tag your friends to wish a Happy New Year🥳 
Ends in 48 hrs!

#womeninnft #cultureofwomen #Airdrop #Ukraine #Ukraina  🥂 https://t.co/RRFu0mkhQe"
8,2021-12-31 22:00:17+00:00,"#ESC250 Countdown

14: #Ukraine 2016 🇺🇦
Jamala - 1944

(2020: 6 (-8))

https://t.co/DNr5AzhxuY"
9,2021-12-31 21:01:00+00:00,"Happy New Year from #Moscow! The entire Russia Beyond team would like to wish you a healthy, happy and prosperous 2022 🍾 As we say in #Russia, the way you ring in the #NewYear is the way you’ll spend it, so we hope you’re doing it in style 😎

📷 Kristina Makeeva https://t.co/9NDAFe54fz"
10,2021-12-31 20:57:00+00:00,"#ESC250 Countdown

35: #Russia 2021 🇷🇺
Manizha - Russian Woman

https://t.co/9bZvIXNMLl"
11,2021-12-31 19:04:39+00:00,"#ESC250 Countdown

72: #Ukraine 2007 🇺🇦
Verka Serduchka - Dancing Lasha Tumbai

(2020: 65 (-7))

https://t.co/naoTJqrSP9"
12,2021-12-31 18:05:03+00:00,"#ESC250 Countdown

92: #Russia 2019 🇷🇺
@sergeylazarev - Scream

(2020: 148 (+56))

https://t.co/rgypbKpLi5"
13,2021-12-31 17:36:11+00:00,"#ESC250 Countdown

101: #Russia 2020 🇷🇺
@LITTLEBIG_BAND - Uno

(2020: 99 (-2))

https://t.co/JP27LMLYMK"
14,2021-12-31 16:57:21+00:00,"With #NewYear2022 almost here, I take this opportunity to wish you all a Happy New Year &amp; thank you for your support during 2021. After almost 8 years, I'm still proud as ever to support #Ukraine - because no matter what Russia does, what's real... can't die. #UkraineWillResist https://t.co/2eBIlKKh2J"
15,2021-12-31 16:09:12+00:00,Spoke to @SecBlinken on the importance of de-escalation of #Russia’s considerable military build-up in &amp; around #Ukraine. #NATO stands united. We are prepared for dialogue in the NATO-Russia Council on Jan 12.
16,2021-12-31 15:52:30+00:00,Greetings from 2022!!! 💥 #Yakutsk #Russia https://t.co/8FdZFrhdwv
17,2021-12-31 14:07:25+00:00,#VladimirPutin will get exactly what he wants- US promise not to extend NATO membership to #Ukraine. #Shame on @JoeBiden
18,2021-12-31 14:04:19+00:00,"Another timely snapshot of why Putin (and his national security team) don't quake at the West's threats to impose ""serious costs and consequences""  over #Ukraine. They been preparing for this moment for ages. https://t.co/5QMFI0MQFV"
19,2021-12-31 13:11:28+00:00,"🇷🇺#Russia international reserves December 24
$630.5 bn, all time high.

About 38% of 2021 GDP. That's a lot. https://t.co/7Qyt7dV32b"
20,2021-12-31 12:42:59+00:00,"☎️ President #Putin stressed to #US President @JoeBiden that negotiations needed to produce solid legally binding guarantees ruling out #NATO’s eastward expansion and deployment of weapons that threaten #Russia in immediate vicinity of its borders.

🔗 https://t.co/00R8RiDiwq https://t.co/bBYjWFaFDa"
21,2021-12-31 12:34:44+00:00,"🎇Dearest friends❤! Our best wishes for a Happy #NewYear2022! May peace, love, and prosperity follow you always! We wish God blesses all your loved❤ones with good health and happiness! Happy New Year❄🎄🎉!
#Welcome2Crimea🇷🇺
#Russia🇷🇺 https://t.co/gOTgZhvAhc"
22,2021-12-31 08:45:06+00:00,Putin sounding a tad desperate. Said to have warned Biden that imposing new sanctions over #Ukraine could lead to a complete breakdown in relations. Biden: US &amp; its allies/partners will respond decisively if Russia further invades Ukraine. https://t.co/QFdLnkZTtH #Donbas #Donbass
23,2021-12-31 02:02:23+00:00,"A high stakes call with @POTUS &amp; @KremlinRussia_E ahead of a three-day summit in Jan, while Russian troops amass on the #Ukraine border...Fmr U.S. Amb to Russia @McFaul joined @CNBCi with what to look out for, and what potentially comes next... @asiasquawkbox #donbass #russia https://t.co/LbdKUxtI9q"
24,2021-12-30 22:41:07+00:00,A Kremlin aide is quoted saying Putin told @POTUS  that US sanctions on #Russia could lead to a complete breakdown in relations between Washington and Moscow.
25,2021-12-30 17:08:27+00:00,"This is Orwellian propaganda &amp; disinformation. In fact, studies by Western political scientists, including my book, peer-reviewed articles &amp; conference papers, show that #Ukraine has been one of most regional divided countries in the world. Read scholars. https://t.co/zdMrKXxoxM https://t.co/npMPWGczAT"
26,2021-12-30 16:46:52+00:00,"NSDC Sec. Danilov: For a full-scale invasion of #Ukraine, #Russia needs three to five times more troops than are currently amassed near Ukraine’s border."
27,2021-12-30 16:23:48+00:00,"Editorial by @FT — #Russia’s president is playing a relatively weak hand strongly. The west should not play its own strong hand weakly.  

A twin-track strategy to deter Vladimir #Putin  https://t.co/Xsd4lSF20F"
28,2021-12-30 13:08:05+00:00,"#Russia has reached a threshold of intolerance to further American duplicity and empty assurances. If there are no far-reaching security guarantees produced, then the next move is for Moscow to lay down some serious military cards on the table.
https://t.co/sEnUaL6AKF"
29,2021-12-30 10:35:19+00:00,"#Russia's state media points out that Putin extended Christmas/New Year's greetings to just about everyone, except for the leaders of Ukraine and Georgia. How exquisitely petty. https://t.co/YLNkz6jTwC"
30,2021-12-30 09:37:00+00:00,"The #US-#Russia talks on strategic stability/security guarantees are the most important talks in Europe since the end of WWII: if an agreement is reached it might lead to a lasting peace, if #NATO, instead, decides to keep expanding a big war is unavoidable."
31,2021-12-30 07:13:41+00:00,St.Sophia covered with snow #kyiv #ukraine #київ #Україна https://t.co/rdZ2zs3IrW
32,2021-12-29 20:43:18+00:00,"Good Wednesday afternoon, I'll be joining @jaketapper on @CNN shortly at 5:30 PM ET to talk #Ukraine and #Russia. Hope you'll tune in!"
33,2021-12-29 19:42:00+00:00,#RinatDasaev ... arguably one of the world's best keepers in the 1980's. The #SpartakMoscow man played in 3 World Cups for #Russia #USSR #CCCP https://t.co/7T3mVFGuIs
34,2021-12-29 19:28:37+00:00,Good piece by Peter Dickinson for ⁦@ACEurasia⁩ #UkraineAlert:  #Russian attempts to promote false narratives of a divided #Ukraine form a key part of Moscow’s ongoing campaign to undermine Ukrainian independence.  https://t.co/oTJJrv4BZG
35,2021-12-29 18:12:25+00:00,White House says #US remains 'gravely concerned' by Russian troops near #Ukraine and that Biden will offer #Putin a 'diplomatic path' on Ukraine tensions
36,2021-12-29 16:42:57+00:00,"''#Greece may be all set to kick #China out of its prized #Piraeus port''
 
“They sold this place to #China and #Russia.” This is what some locals reportedly feel around the Greek Port of Piraeus, which is a 20-minute drive away from the capital city of Athens. https://t.co/UIzxX17034"
