,Date,tweet
0,2021-03-01 23:43:59+00:00,Wud @IowaStateU students ask #BenedictArnold to speak on campus in 1780? #EdwardSnowden didn't try to get President #Obama captured as #Arnold almost got #Washington captured. But he created tools 4 current #Russia cyberwar against US. #Traitor #IaPolitics https://t.co/7nEbFUtleu
1,2021-03-01 23:39:11+00:00,"Standing with you, heartedly.
There must be no impunity for #Assad regime &amp; his backers, Putin's #Russia &amp; #Iran, accomplices in imprescriptible crimes.
There will be no political solution as long as Assad's thugs remain in power.
#10years is enough
Only action would #savetherest https://t.co/SscVNENxJo"
2,2021-03-01 23:22:28+00:00,This may go some way toward answering the question President @VonDerLeyen posed last week about why #Russia is so eager to export its #SputnikV vaccine to other countries while its own vaccination rate remains so low. https://t.co/itioWxHA8O
3,2021-03-01 22:56:09+00:00,"Pentagon Announces $125 Million in Military Aid for #Ukraine
The money will go towards armed patrol boats 
https://t.co/qD9ztJblar https://t.co/BXX6HwBAzi"
4,2021-03-01 22:53:06+00:00,"Dear #USA, thanks for giving away #preciousmetals (#gold and #silver) for free to your best friends in #Russia &amp; #China. I'm as #EU citizen who lives in post-soviet country highly recommend #communism. We don't know how to smile here even after 30 years. #silversqueeze"
5,2021-03-01 22:36:44+00:00,"First #Russia silenced #CrimeanTatar #media in occupied #Crimea, now #Ukraine is helping 
#LetMyPeopleGo #SaveATR #MeydanFM 
https://t.co/4rvAZegYyR https://t.co/HK22odTyZ8"
6,2021-03-01 22:06:28+00:00,"Mega Man 4 cutscene recreation
#picoCAD #3D #lowpoly #pixelart #MegaMan #CAPCOM #Russia #dr #cossack #kalinka https://t.co/lSnKiP6zuT"
7,2021-03-01 21:24:55+00:00,#Russia opens its trade representation in #SaudiArabia. Although trade turnover is quite low (about $1.7 bn in 2019 &amp; 2020) they aim at reaching $5 bn by 2024. Important step in institutionalization of business activities btw the two states. https://t.co/zptqunrMTg
8,2021-03-01 21:20:53+00:00,#JoeBiden &amp; General Lloyd 'Raytheon' Austin announce $125 million military aid package for #Ukraine - https://t.co/vax1JRwbhe - @washtimes
9,2021-03-01 21:18:29+00:00,My hometown. 7000 people killed in 2 days. 3 Guernicas. Only strong #Ukraine that can defend itself can guarantee massacre of Ukrainians will never happen again https://t.co/hMJVI8HfHv
