time,low,high,open,volume,TOMORROW_CLOSE,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,Subjectivity Bitcoin,Polarity Bitcoin
1/22/2021,28732,33867,30855.9,48155.72162,32112.01,34259.64143,35865.70143,35377.08003,34647.90006,-729.1799686,2768.237573,41402.17657,30329.22628,32345.74221,32111.01,10.37695424,0.373306477,0.075985917
1/23/2021,31432.19,33488.79,32982.66,16139.81478,32288.56,33755.15,35827.98238,35096.73373,34275.48598,-821.2477435,2813.115648,41454.21368,30201.75109,32307.62074,32287.56,10.3824373,0.340508344,0.044960474
1/24/2021,30931.21,33086.53,32110,13618.80098,32261.87,33131.95571,35839.50048,34843.6377,33958.9098,-884.7279012,2797.194653,41433.88978,30245.11117,32277.12025,32260.87,10.38161032,0.34216914,0.069814858
1/25/2021,31920.8,34888,32293.18,23045.66293,32510.82,32645.31857,35767.1281,34638.48375,33732.00939,-906.4743576,2865.171051,41497.4702,30036.78599,32432.92008,32509.82,10.38929748,0.372608676,0.037910579
1/26/2021,30830,32960.37,32260.52,23535.83892,30407.13,31917.32429,35459.88381,34271.45777,33212.51292,-1058.944854,3080.085635,41620.05508,29299.71254,31082.39336,30406.13,10.32239951,0.321886223,0.112674663
1/27/2021,29156,32584.62,32510.82,46207.08537,33488.99,32293.47286,35173.38048,34204.43569,33255.60775,-948.8279429,2962.53025,41098.44098,29248.31998,32686.79112,33487.99,10.41894215,0.33900638,0.072295186
1/28/2021,29902.14,34000,30414.11,36007.06269,34262.11,32475.92714,34868.47381,34209.31922,33412.17546,-797.1437553,2685.612234,40239.69828,29497.24934,33737.00371,34261.11,10.44176617,0.344412698,0.126996032
1/29/2021,31990,38570.13,33487.92,72641.07975,34315.63,32790.73,34585.53095,34218.22657,33552.47354,-665.7530395,2385.726923,39356.9848,29814.07711,34122.75457,34314.63,10.44332707,0.272000467,0.076713741
1/30/2021,32852.86,34900,34262.11,21362.15174,33137.74,32912.04143,34345.82476,34128.56766,33488.16218,-640.4054832,2256.807938,38859.44064,29832.20889,33466.07819,33136.74,10.40839792,0.349705345,0.137939228
1/31/2021,32200,34387.75,34315.63,16436.39758,33533.19,33093.65857,34254.42476,34079.59927,33495.13598,-584.4632823,2248.59572,38751.6162,29757.23332,33510.8194,33532.19,10.42026115,0.290444444,0.063444444
