,Date,tweet
0,2022-06-30 20:36:30+00:00,So apparently the Donald is headed soon to Anchorage Alaska for a rally. Short flight to Russia after that . . . hmmm . . . I wonder . . .
1,2022-06-30 19:24:56+00:00,"BIDEN: ""The reason why gas prices are up, is because of Russia—Russia, Russia, Russia. The reason why the food crisis exists, is because of Russia, Russia..."" https://t.co/8F0y0rKbPn"
2,2022-06-30 18:24:05+00:00,"Ukraine is the MIC’s new Iraq wrapped up with a pretty little NATO bow, with a nuclear present inside.

A unwanted gift that will keep giving for far too long."
3,2022-06-30 18:17:04+00:00,"REPORTER: ""How long is it fair to expect American drivers...to pay that premium for this war?""

BIDEN: ""As long as it takes."" https://t.co/ewlUvFyoZK"
4,2022-06-30 18:00:02+00:00,"Strengthening security. 

Defending democracy. 

Supporting Ukraine. 

@NATO stands united. https://t.co/KT2gAdEJB8"
5,2022-06-30 17:51:52+00:00,I’m getting the feeling ALL real Americans are getting fed up with the Ukraine money grab.
6,2022-06-30 17:18:38+00:00,"With the US leading NATO in the proxy war with Russia, on the uninterested American taxpayers dime, has anyone even thought to ask who or what kind of regime would replace Putin if they succeed?"
7,2022-06-30 17:04:42+00:00,"💬 President Putin: The calls to Ukraine to keep fighting and to abandon any further negotiations prove that the US and NATO do not care for the Ukrainian people's interests.

☝️ They use Ukraine to reinforce their role and positions in the world, to reaffirm their hegemonism. https://t.co/YseFiKInB5"
8,2022-06-30 16:38:14+00:00,"This final season of America has been absolutely amazing. I mean, it starts with an attack on the capital and ends with a new Supreme Court that is actively dismantling democracy? That's some top notch writing! And it perfectly sets up the Civil War miniseries that will follow..."
9,2022-06-30 15:57:55+00:00,"Earlier this year, the U.S. surged 20,000 additional U.S. forces to Europe to strengthen our NATO Alliance in response to Russia’s aggression against Ukraine and the changing security environment.

We’ll continue to adjust our posture to ensure the defense of our Allies:"
10,2022-06-30 15:51:50+00:00,"Biden just said he's planning to support Ukraine for however long it takes.

If only he had such fervor about helping the American people."
11,2022-06-30 14:59:31+00:00,"1. Everywhere I go on Main Street America people say, “our federal government is failing us.”

NO ONE says, “we must go to war with Russia.”

NO ONE.

The only people wanting war w/ Russia in Ukraine are those who make money off of it.

Funded by the American taxpayers who don’t."
12,2022-06-30 14:23:44+00:00,Biden says Americans will have to stomach high gas prices “as long as it takes” to beat back Putin’s invasion of Ukraine https://t.co/npiUbJaZDl
13,2022-06-30 14:04:05+00:00,Marge Greene has now sent out 6 consecutive tweets this morning saying we should stop helping Ukraine because it might make Putin mad.
