,Date,tweet
0,2022-06-30 23:39:06+00:00,"For a long time, America was “the undisputed leader in nuclear energy”, writes @SenJohnBarrasso. “But years of neglect have weakened the entire sector. We must act now to reverse this decline” https://t.co/1vAAdLuzqz"
1,2022-06-30 23:38:05+00:00,Breathtaking change marked the Supreme Court term that began last October and wrapped up this week https://t.co/XDoHxlJiik
2,2022-06-30 23:31:05+00:00,Mars strikes the right balance between making money and doing good https://t.co/93fagRkMdV
3,2022-06-30 23:24:53+00:00,"@goodmazino @CryptoNCoffeee It's a banking issue, will be resolved soon."
4,2022-06-30 23:21:50+00:00,"Web3 companies don't need to sell data.

Simple, transparent business model. A tiny fee for using the network/platform.

Speaking of tiny fees... to be continued..."
5,2022-06-30 23:17:03+00:00,The Bipartisan Safer Communities Act reassured gun-control advocates while also appealing to those on the right concerned about preserving the constitutional right to bear arms https://t.co/103F6mOOfw
6,2022-06-30 23:15:07+00:00,"It may look an easy job, sitting on a chair by the water, but it is highly skilled. This is part of the reason that pools and resorts are struggling to find lifeguards https://t.co/19amyEgO5J"
7,2022-06-30 23:05:17+00:00,» #BNB Chain: The Evolving Juggernaut | Messari https://t.co/AkLgSwB7OW
8,2022-06-30 23:03:02+00:00,America needs to find a better way of resolving its thorniest issues. But a polarised country seems poorly prepared for the sort of debate this requires https://t.co/At6NSW1r99
9,2022-06-30 22:59:04+00:00,"Until the United States legalises drugs, Mexico will always have a gang problem. But the state could reduce the harm if it did more to end impunity for murder https://t.co/lZRAGaJvqQ"
10,2022-06-30 22:41:05+00:00,"Ukrainians remain firmly against the idea of negotiations with Russia. Ukraine’s allies may not take such a black-and-white view of things. Vladimir Putin may find them easier to dishearten than Ukrainians 
https://t.co/umzyMGouUN"
11,2022-06-30 22:34:06+00:00,"Europe’s energy war is becoming total. As countries look for alternatives to Russian gas, populations are being prepared for pain 
https://t.co/rnEaSzDy03"
12,2022-06-30 22:32:04+00:00,Why an island home to two massive fossil-fuel projects symbolises an uneasy Russo-Japanese peace https://t.co/xic0eCtElb
13,2022-06-30 22:22:04+00:00,Photogrammetry and 3D scanning will aid future rebuilding efforts. They will also help tell the story of the war https://t.co/XEDPyvEp0v
14,2022-06-30 22:17:00+00:00,"The continent needs places where anyone can picnic, hang out or even protest https://t.co/bkEXvOyXWP"
15,2022-06-30 22:13:02+00:00,"What’s the future for Hong Kong? To mark the 25th anniversary of the city’s return to Chinese rule, @annemcelvoy talks to Chris Patten, @nathanlawkc and @suelinwong on “The Economist Asks” podcast https://t.co/e9Sl51zOh6"
16,2022-06-30 22:01:49+00:00,"“Lofting”, which dates back to the 1940s, suggests both sides lack modern weaponry https://t.co/zBVhRCBCX9"
17,2022-06-30 21:45:10+00:00,"“Still Born” by Guadalupe Nettel, is a piercing reflection on the ways acts of care can bind people together, and on the unpredictability of life https://t.co/dknmzTHdMm"
18,2022-06-30 21:38:08+00:00,People praying; mothers protesting with their daughters; tape over mouths; coat hangers in hands. These are the things photographer @shuranphoto can’t forget from the protests after Roe was overturned https://t.co/xxbA6xCx7p
19,2022-06-30 21:35:07+00:00,The arrest of an Indian human-rights activist is yet another sign of the shrinking space for dissent and the erosion of the separation of powers in what India’s prime minister describes as a “vibrant democracy” https://t.co/xoKKD2P5Ed
20,2022-06-30 21:24:03+00:00,Recent weeks have seen reports of anti-Taliban attacks by a group that calls itself the National Resistance Front https://t.co/q4QdV06z4o
21,2022-06-30 21:13:03+00:00,"It never hurts to put something aside for a rainy day: some money, maybe even blood from donors. But new research proposes going further https://t.co/LjQM9jOJN1"
22,2022-06-30 21:09:04+00:00,"Smelling others may allow subconscious inferences about genetic similarity to be drawn 
https://t.co/s0gbUWWTao"
23,2022-06-30 20:55:05+00:00,"Snake Island is only 45km from Romania, a member of NATO. Its location overlooking the Danube delta and shipping channels to Odessa and other Black Sea ports make it a strategic prize 
https://t.co/1kqBn0YxqH"
24,2022-06-30 20:46:03+00:00,"“The Escape Artist”, a new book by Jonathan Freedland, honours the memory of two brave and determined men who helped save some of the last Jews of Europe https://t.co/gOwfYFUnVR"
25,2022-06-30 20:44:02+00:00,"The embrace of the unconscionable by millions of otherwise reasonable Americans is by far the biggest novelty of the Trump era. By comparison, the paranoia and bigotry of the Capitol Hill rioters was old hat https://t.co/8SgRPYe6Ri"
26,2022-06-30 20:43:06+00:00,"When war began, Olesia Vorotnyk quit Ukraine’s national ballet and took up a position at a checkpoint, armed with an AK-47 https://t.co/GbWfTL9Mkf"
27,2022-06-30 20:28:04+00:00,"Mexicans are disappearing in large numbers because drugs are illegal. Gangs fighting over turf abduct rivals, murder them and bury them in lonely patches of desert  https://t.co/yxL1bXbU36"
28,2022-06-30 20:19:06+00:00,"Much of young tech firms’ value is derived from the prospect of profits far in the future, whose present value is being eroded by rising interest rates 
https://t.co/IOmiR4672m"
29,2022-06-30 20:03:33+00:00,But legal changes in both countries may help South Korea reclaim its crown https://t.co/jcFIWAX4Eh
30,2022-06-30 19:46:03+00:00,"The war in Ukraine, China’s techlash and rising interest rates mean capitalism’s moon-shot machine is earthbound https://t.co/YymsuDCWEL"
31,2022-06-30 19:41:03+00:00,"Anyone can invent writing. But no one did, for aeons of humankind’s linguistic existence, until someone had the idea of making pictures stand for sounds https://t.co/qZ3KUw8tQ6"
32,2022-06-30 19:37:32+00:00,"Russia’s army is making headway, albeit slowly. Ukraine’s forces, outgunned and until recently largely outranged in artillery, have been mauled  
https://t.co/Mytwj4pNUC"
33,2022-06-30 19:20:06+00:00,America’s Supreme Court is on a roll. It has issued yet another momentous ruling—one that will have far-reaching consequences for the government’s ability to curb the greenhouse-gas emissions that are heating the planet https://t.co/kLJNesxO5T
34,2022-06-30 19:16:05+00:00,"Some buildings should be retrofitted, others torn down https://t.co/inGjZdVqu8"
35,2022-06-30 18:50:05+00:00,"Defensive tariffs are mostly boring, politics-free affairs. But very occasionally, something spicier comes up https://t.co/M7y9hHI0rI"
36,2022-06-30 18:28:02+00:00,By one estimate it could take 35 years just to clear the backlog of unidentified bodies in Mexico. The time to start investigating every disappearance properly is now https://t.co/e3tPXXqXZn
37,2022-06-30 18:11:04+00:00,Colorado’s primary election this week was the latest test of the Republican Party’s embrace of such candidates https://t.co/QWH47e5nJV
38,2022-06-30 17:50:04+00:00,Why has Elvis Presley faded from the forefront of the world’s collective consciousness? Baz Luhrmann’s new film offers clues https://t.co/aIMb0pP5uy
39,2022-06-30 17:37:05+00:00,"A long war will test both sides in new ways. Whether it favours Russia or Ukraine depends in large part on how the West responds 
https://t.co/gjFMNjALYd"
40,2022-06-30 17:25:05+00:00,"“If we don't step in with a thoughtful, joined-up approach, we're going to end up with a much dirtier decade.” The Economist’s Vijay Vaitheeswaran explores the stakes of decarbonising during an energy crisis, on “Babbage” https://t.co/tt5Xrwt6se"
41,2022-06-30 17:14:48+00:00,"Long-running complaints include an educational system that has been sending more young people to university but still equips too few with the skills employers want 

https://t.co/dEDHAKrNL2"
42,2022-06-30 16:58:59+00:00,"Ukraine has scored a success using NATO weapons to drive Russian forces off Snake Island. It should aim to impose a “hurting stalemate”, in which it takes back similarly symbolically important territory 
https://t.co/yRAR6gJLYo"
43,2022-06-30 16:41:07+00:00,How will technology redefine aviation? Host Tom Standage travels to the year 2042 to find airlines using electric aircraft and synthetic fuels as part of the effort to reduce global aviation’s carbon emissions. Listen to “The World Ahead” https://t.co/4eWEUiowHD
44,2022-06-30 16:31:05+00:00,"Citigroup’s global economic-surprise index, which measures the degree to which macroeconomic data announcements beat or miss forecasts compiled by Bloomberg, has fallen into negative territory for the first time since November https://t.co/LssG5ew071"
45,2022-06-30 16:22:33+00:00,From 2010 to 2019 the amount of grain used for animal feed rose from 770m tonnes per year to 987m https://t.co/wZIVVYIKEA
46,2022-06-30 16:03:23+00:00,"Since its creation, bitcoin has been seen as a hedge against inflation. But @clara_medalie at @KaikoData tells this week’s “Money Talks” podcast that “we’re really seeing the unravelling of that narrative” https://t.co/MTWIZE3fv6"
47,2022-06-30 15:43:41+00:00,"Cinecittà, the film studio that produced “Cleopatra” and “Gangs of New York”, is about to expand by more than two-thirds https://t.co/ikOwfcCDee"
48,2022-06-30 15:25:09+00:00,"One explanation for Bongbong’s triumph is that most voters are too young to remember the first Marcos era, with its mass arrests of dissidents and its inventive torture techniques https://t.co/a65o3enJea"
49,2022-06-30 15:07:38+00:00,"The repercussions will play out over years, and the response should be calibrated accordingly https://t.co/uEvsLwPqlC"
50,2022-06-30 14:46:53+00:00,"Deceptive, infuriating and beloved: it is not easy to explain Italy but these six books are a start  https://t.co/DwnJt46tKq"
51,2022-06-30 14:37:38+00:00,» Binance to assist Cambodia in developing digital asset regulations https://t.co/jsmjbkvO7I
52,2022-06-30 14:30:24+00:00,"The government reckons Ukraine will lack 10-15m tonnes’ worth of suitable storage this year. The Grain Association, an industry body, thinks the gap could be as high as 25m tonnes https://t.co/PopIXl82VX"
53,2022-06-30 14:10:09+00:00,"Today on “The Intelligence”: another President Marcos for the Philippines, Scotland’s renewed independence push and why pilots in Ukraine fire rockets so clumsily https://t.co/v3U2ejeAOb"
54,2022-06-30 14:04:26+00:00,"When Roe v Wade was overturned, the crowd was silent for about two seconds. Then everything shifted. Photographer @shuranphoto describes what it was like to be outside the Supreme Court when the decision was announced https://t.co/xwupBdGi66"
55,2022-06-30 13:47:44+00:00,“Lofting” is an outdated and woefully inaccurate way to launch missiles. @David_Hambling tells “The Intelligence” why so much of it is going on in Ukraine https://t.co/qMyLUD0o5D https://t.co/VHgcESoi7W
56,2022-06-30 13:39:37+00:00,@CryptoNCoffeee We don't.
57,2022-06-30 13:31:37+00:00,“Trump seems to poll better the more he recedes from the public imagination.” @SarahLongwell25 breaks down how Trump voters are viewing the January 6th committee on “Checks and Balance” https://t.co/mQypcfZl7W
58,2022-06-30 13:12:12+00:00,"The ubiquitous, cheap drones buzzing overhead in Ukraine may be a vision of future conflicts https://t.co/klx80v9OfH"
59,2022-06-30 12:53:49+00:00,Scotland’s separatist party wants another independence referendum. @mattholehouse tells “The Intelligence” why it almost certainly will not get one https://t.co/8fMWK3L2V8 https://t.co/q1UCuMyg3k
60,2022-06-30 12:34:15+00:00,Throwing billions at a breakaway golf tour will not polish the kingdom’s image https://t.co/oKp1itGEAF
61,2022-06-30 12:29:45+00:00,Another 145m followers. https://t.co/YP1p5udsfr
62,2022-06-30 12:14:28+00:00,» Binance to Extend the 25% Trading Fee Discount When Using BNB | Binance Support https://t.co/kZIIQdFcH4
63,2022-06-30 12:13:29+00:00,"As the son of the Philippines’ late dictator Ferdinand Marcos becomes its next president, our Asia editor tells “The Intelligence” how the family cleaned up its brand https://t.co/TUpZRjZXsU"
64,2022-06-30 11:53:24+00:00,"Ukraine may have succeeded in a new offensive to wrest back control of the island, with the Russians reportedly in retreat https://t.co/pkw525wLxj https://t.co/qQzHkln0GP"
65,2022-06-30 11:31:30+00:00,"Technically it is illegal to use a virtual private network in China without the government’s permission 
https://t.co/TGwECVc8sB"
66,2022-06-30 11:12:29+00:00,"When it comes to religious freedom, in contrast with abortion, the Supreme Court’s conservative majority is not owning up to the transformation it is effecting https://t.co/ZoTjise5Et"
67,2022-06-30 10:38:03+00:00,"Ukraine won the short war. Now comes the long war, and so far, Russia is winning. But it does not have to be fought on Vladimir Putin’s terms https://t.co/eTwjaHWV5k https://t.co/rLUQsduxlf"
68,2022-06-30 10:24:31+00:00,Never click on links in emails.
69,2022-06-30 10:16:12+00:00,"The authors of “The Trouble with Taiwan” note how the island is far more than just a geopolitical issue for China. An open, free, democratic society, it offers an alternative vision of Chinese modernity https://t.co/2NZvKtNMaa"
70,2022-06-30 10:14:32+00:00,"In 1808 America banned the importation of slaves from abroad and began trading people across states instead. 

Separation of enslaved families was routine. A new dataset tracks some of their journeys. Read more ⬇️"
71,2022-06-30 09:57:55+00:00,"Barristers in criminal cases have gone on strike across England and Wales. Earlier this year we explained why, unless lawyers are paid better, courts will grind to a halt https://t.co/8Zx1nr60gX"
72,2022-06-30 09:56:27+00:00,"Watch out for Phishing emails.

Ideally, use a different email address for each platform you use. ie, use an email forwarding service. This way, if you get a phishing email, you know who leaked it.

 » OpenSea Reports Email Data Breach https://t.co/l1ACokEWlE"
73,2022-06-30 09:39:43+00:00,"Last year saw the most blackouts in South African history, overtaking 2020; and this year is set to beat the record again https://t.co/MNRSsivSS8"
74,2022-06-30 09:29:43+00:00,"♦️ America pledged to deploy more troops, warplanes and warships to Europe. 

♦️ Russian forces are relentlessly shelling Lysychansk, a city in eastern Ukraine.

♦️ Ferdinand “Bongbong” Marcos was sworn in as president of the Philippines.

Catch up on the stories that matter"
